
// UNIT	SI
// SI (International System of Units) such as MW
//
// Case Data File Format 2.0
//
// NB: Number of Buses
//
// PenaltyWeight: Penalty weight for DC-OPF objective function
//
// MaxCap: Thermal limits
//
// X: Reactance
//
// FCost,a,b: GenCo's cost attributes
//
// capL,capU: GenCo's operating capacity limits


// UNIT	SI
BASE_S	100
BASE_V	10

// Simulation Parameters
MaxDay  	2
RandomSeed 695672061
ThresholdProbability 0.999


#BusDataStart
//      NB	  PenaltyWeight
         8	         0.0500
#BusDataEnd

#LineDataStart
//    Name	      From	        To	         MaxCap	      Reactance
   Line1	         1	         2	     10000.0000	         0.1000
   Line2	         2	         3	     10000.0000	         0.1000
   Line3	         2	         4	     10000.0000	         0.1000
   Line4	         2	         5	     10000.0000	         0.1000
   Line5	         4	         5	     10000.0000	         0.1000
   Line6	         5	         6	     10000.0000	         0.1000
   Line7	         5	         7	     10000.0000	         0.1000
   Line8	         4	         6	     10000.0000	         0.1000
   Line9	         6	         8	     10000.0000	         0.1000
  Line10	         6	         7	     10000.0000	         0.1000
  Line11	         4	         8	     10000.0000	         0.1000
  Line12	         3	         4	     10000.0000	         0.1000
#LineDataEnd

#GenDataStart
//    Name	        ID	     atBus	          FCost	              a	              b	           capL	           capU	      InitMoney
    GenCo1	         1	         1	         0.0000	        10.0000	         0.0050	         0.0000	      1000.0000	   1000000.0000
    GenCo2	         2	         2	         0.0000	        11.0000	         0.0050	         0.0000	      1000.0000	   1000000.0000
    GenCo3	         3	         3	         0.0000	        12.0000	         0.0050	         0.0000	      1000.0000	   1000000.0000
    GenCo4	         4	         4	         0.0000	        13.0000	         0.0050	         0.0000	      1000.0000	   1000000.0000
    GenCo5	         5	         5	         0.0000	        14.0000	         0.0050	         0.0000	      1000.0000	   1000000.0000
    GenCo6	         6	         6	         0.0000	        20.0000	         0.0050	         0.0000	      1000.0000	   1000000.0000
    GenCo7	         7	         7	         0.0000	        25.0000	         0.0092	         0.0000	      1000.0000	   1000000.0000
    GenCo8	         8	         8	         0.0000	        30.0000	         0.0093	         0.0000	      1000.0000	   1000000.0000
#GenDataEnd

#LSEDataFixedDemandStart
//    Name	        ID	     atBus	           H-00	           H-01	           H-02	           H-03	           H-04	           H-05	           H-06	           H-07
      LSE1	         1	         1	     400	      400	      400	      400	      400	      400	      400	     400
      LSE2	         2	         2	     400	      400	      400	      400	      400	      400	      400	     400
      LSE3	         3	         3	     400	      400	      400	      400	      400	      400	      400	     400
      LSE4	         4	         4	     400	      400	      400	      400	      400	      400	      400	     400
      LSE5	         5	         5	     400	      400	      400	      400	      400	      400	      400	     400
      LSE6	         6	         6	     400	      400	      400	      400	      400	      400	      400	     400
      LSE7	         7	         7	     400	      400	      400	      400	      400	      400	      400	     400
      LSE8	         8	         8	     400	      400	      400	      400	      400	      400	      400	     400
//    Name	        ID	     atBus	           H-08	           H-09	           H-10	           H-11	           H-12	           H-13	           H-14	           H-15
      LSE1	         1	         1	     400	      400	      400	      400	      400	      400	      400	     400
      LSE2	         2	         2	     400	      400	      400	      400	      400	      400	      400	     400
      LSE3	         3	         3	     400	      400	      400	      400	      400	      400	      400	     400
      LSE4	         4	         4	     400	      400	      400	      400	      400	      400	      400	     400
      LSE5	         5	         5	     400	      400	      400	      400	      400	      400	      400	     400
      LSE6	         6	         6	     400	      400	      400	      400	      400	      400	      400	     400
      LSE7	         7	         7	     400	      400	      400	      400	      400	      400	      400	     400
      LSE8	         8	         8	     400	      400	      400	      400	      400	      400	      400	     400
//    Name	        ID	     atBus	           H-16	           H-17	           H-18	           H-19	           H-20	           H-21	           H-22	           H-23
      LSE1	         1	         1	     400	      400	      400	      400	      400	      400	      400	     400
      LSE2	         2	         2	     400	      400	      400	      400	      400	      400	      400	     400
      LSE3	         3	         3	     400	      400	      400	      400	      400	      400	      400	     400
      LSE4	         4	         4	     400	      400	      400	      400	      400	      400	      400	     400
      LSE5	         5	         5	     400	      400	      400	      400	      400	      400	      400	     400
      LSE6	         6	         6	     400	      400	      400	      400	      400	      400	      400	     400
      LSE7	         7	         7	     400	      400	      400	      400	      400	      400	      400	     400
      LSE8	         8	         8	     400	      400	      400	      400	      400	      400	      400	     400
#LSEDataFixedDemandEnd

//Reward Selection Flag: 0-> profits; 1-> net earnings
#GenLearningDataStart
//    Name	 InitPropensity	        Cooling	        Recency	Experimentation	             M1	             M2	             M3	   RI_MAX_Lower	   RI_MAX_Upper	       RI_MIN_C	     SlopeStart	RewardSelection
    GenCo1	      6000.0000	      1000.0000	         0.0400	         0.9600	         1.0000	         1.0000	         1.0000	         0.7500	         0.7500	         1.0000	         0.0010	         1.0000
    GenCo2	      6000.0000	      1000.0000	         0.0400	         0.9600	         1.0000	         1.0000	         1.0000	         0.7500	         0.7500	         1.0000	         0.0010	         1.0000
