DELIVERY_DATE,HOUR_ENDING,ACTUAL_SYSTEM_WIDE,COP_HSL_SYSTEM_WIDE,STWPF_SYSTEM_WIDE,WGRPP_SYSTEM_WIDE,ACTUAL_LZ_SOUTH_HOUSTON,COP_HSL_LZ_SOUTH_HOUSTON,STWPF_LZ_SOUTH_HOUSTON,WGRPP_LZ_SOUTH_HOUSTON,ACTUAL_LZ_WEST,COP_HSL_LZ_WEST,STWPF_LZ_WEST,WGRPP_LZ_WEST,ACTUAL_LZ_NORTH,COP_HSL_LZ_NORTH,STWPF_LZ_NORTH,WGRPP_LZ_NORTH,DSTFlag
7/23/2019,1,6319.16,7228.3,6452.8,3935.8,1322.04,1279.7,1331.8,789.1,4326.73,5325,4455,2729.5,670.39,623.6,666,417.2,N
7/23/2019,2,6044.68,6823.7,6115.7,3620.5,1170.04,1081.2,1196.2,657.2,4217.32,5085.9,4253.8,2537.9,657.32,656.6,665.7,425.4,N
7/23/2019,3,5523.21,6185.9,5545.3,3260.7,1000.88,1064.9,1002.4,529.8,3915.38,4427.3,3924.5,2323.8,606.95,693.7,618.4,407.1,N
7/23/2019,4,5213.85,5730.2,5251.1,3146.6,721.24,922.2,780.4,401.6,3945.62,4161.1,3921.4,2373.4,546.99,646.9,549.3,371.6,N
7/23/2019,5,4720.6,4987.5,4817.5,2941.5,542.78,733.9,548.5,287.7,3614.28,3651,3716.5,2289.6,563.54,602.6,552.5,364.2,N
7/23/2019,6,3755.29,4653.1,3822.5,2210.9,392.78,497.6,417,213.7,2796.34,3612.1,2828.8,1643.6,566.17,543.4,576.7,353.6,N
7/23/2019,7,3354.31,4248,3369.3,1967.8,251.27,370.5,244.6,134.4,2565.64,3338.3,2595.2,1476.9,537.4,539.2,529.5,356.5,N
7/23/2019,8,3125.43,3408.1,3177.2,1902.7,217.72,292.7,222.1,132.7,2378.81,2587.5,2412.1,1409.3,528.9,527.9,543,360.7,N
7/23/2019,9,2634.25,3226.6,2594.2,1418.8,244.16,259.2,253.2,145.9,2010.83,2500,1937.6,1051.2,379.26,467.4,403.4,221.7,N
7/23/2019,10,3178.11,3461.5,3186.5,1877.6,307.64,333.5,308.1,193.8,2525.49,2657.1,2541.6,1475.9,344.98,470.9,336.8,207.9,N
7/23/2019,11,3312.88,3331.9,3341.8,1958.3,379.62,407.7,360.8,216,2556.2,2550.3,2603.3,1514.9,377.06,373.9,377.7,227.4,N
7/23/2019,12,3577.92,3822.4,3550.9,2141.9,559.04,462.6,505.9,286.2,2669.6,3009.4,2689.2,1623.2,349.28,350.4,355.8,232.5,N
7/23/2019,13,3829.51,3958.8,3842.5,2398.2,657.1,527.2,647.1,404.2,2773.25,3054.2,2795.8,1751.2,399.16,377.4,399.6,242.8,N
7/23/2019,14,4356.21,4401.9,4239.3,2559.2,994.41,688.3,882.7,532.2,2959.5,3350.5,2954.7,1793.3,402.3,363.1,401.9,233.7,N
7/23/2019,15,4811.91,4871.5,4691.1,2829.7,1139.38,915.8,1083.4,657.5,3262.75,3534,3209,1944.2,409.78,421.7,398.7,228,N
7/23/2019,16,5641.5,5282.5,5469.1,3352.3,1439.67,1208.7,1354,852.9,3782.16,3663.2,3696.3,2247.7,419.67,410.6,418.8,251.7,N
7/23/2019,17,6284.68,5675.9,6190.5,3903.9,1657.23,1446.9,1659.3,1088.1,4223.58,3802.3,4118.4,2562.6,403.87,426.7,412.8,253.2,N
7/23/2019,18,5833.79,5786,5804,3616.8,1160.8,1376.5,1211.8,787.7,4273.07,3980.1,4183.6,2578.1,399.92,429.4,408.6,251,N
7/23/2019,19,5356.92,6129.8,5392.2,3411.1,892.9,1578.2,940.2,603.8,4067.16,4138.4,4038.4,2551.8,396.86,413.2,413.6,255.5,N
7/23/2019,20,4907.19,5441.6,5096.6,3273.5,831.5,943.4,909.6,598,3757.12,4089.3,3854.8,2460,318.57,408.9,332.2,215.5,N
7/23/2019,21,4018.41,5191.3,4192.9,2552.3,612.97,620.6,690.6,399.6,3200.22,4171.6,3295.4,2008.2,205.22,399.1,206.9,144.5,N
7/23/2019,22,3934.19,5194.5,3914.3,2269.8,325.56,668.3,355.4,186.5,3390.61,4219.8,3342.6,1942.7,218.02,306.4,216.3,140.6,N
7/23/2019,23,4466.48,4625.1,4421.9,2632.6,282.01,503.5,291.2,169.8,3971.06,3897.3,3909.1,2317.2,213.41,224.3,221.6,145.6,N
7/23/2019,24,4918.69,4392.7,4880.5,2863.7,252.33,257.4,251.8,148.4,4458.96,3892.7,4419.6,2585,207.4,242.6,209.1,130.3,N
7/24/2019,1,4938.6,4510.1,4975.6,2988.9,227.05,245.6,233.7,140.6,4492.85,4045.1,4525.2,2717,218.7,219.4,216.7,131.3,N
7/24/2019,2,4566.05,4933.7,4548.9,2857.1,184.16,297.2,198,124.4,4143.87,4411.3,4117.3,2588.5,238.02,225.2,233.6,144.2,N
7/24/2019,3,4238.91,4377.5,4258.2,2657.5,179.3,291.8,196.8,115.5,3837.87,3882.3,3834.6,2403.6,221.74,203.4,226.8,138.4,N
7/24/2019,4,3759.68,3490.4,3708.1,2279.8,226.44,318.1,211.9,119.8,3358.92,2978.2,3316.6,2042.2,174.32,194.1,179.6,117.8,N
7/24/2019,5,3279.55,3268.4,3360.3,2024.5,444.86,376.7,372,189,2715.44,2702,2850.2,1734.9,119.25,189.7,138.1,100.6,N
7/24/2019,6,2901.24,2825.1,2705,1552.9,704.14,411.4,560.5,281,2090.96,2271.2,2050.9,1205.7,106.14,142.5,93.6,66.2,N
7/24/2019,7,2852.05,2636.1,2712.8,1578.9,963,563.9,918.8,479.1,1795.03,1971.1,1694,1036.5,94.02,101.1,100,63.3,N
7/24/2019,8,2563.56,2222.1,2590.2,1501.9,1005.69,728.8,1032.1,556.6,1477.47,1422.1,1477.5,894.4,80.4,71.2,80.6,50.9,N
7/24/2019,9,1756.68,2011.4,2107,1194.6,699.9,877.6,843.7,456.9,1004.84,1072.4,1209,706.8,51.94,61.4,54.3,30.9,N
7/24/2019,10,1975.31,1943.2,1716,939.4,857.56,977.4,760.5,417.4,1076.2,940.7,917.9,502.6,41.55,25.1,37.6,19.4,N
7/24/2019,11,2107.32,1974.7,2262,1304.7,1183.11,1018.6,1214.1,727.6,885.39,931.4,1003.2,550.6,38.82,24.7,44.7,26.5,N
7/24/2019,12,1893.27,1865.8,1973.6,1146.3,1212.54,1062.2,1259.3,768.9,653.62,767.5,683.7,354.5,27.11,36.1,30.6,22.9,N
7/24/2019,13,1717.19,2169.1,1741.4,990.2,1222.19,1363.5,1195.9,719.2,473.46,766.3,529.5,257.4,21.54,39.3,16,13.6,N
7/24/2019,14,1777.73,2136.1,1805.8,1004.1,1354.48,1542.9,1353.6,794.6,396.19,565,427.8,196.2,27.06,28.2,24.4,13.3,N
7/24/2019,15,2276.78,2055,2139.9,1254,1734.93,1451.1,1633.5,1013.1,513.19,577.7,473.9,225,28.66,26.2,32.5,15.9,N
7/24/2019,16,2396.39,2147.3,2508.6,1474.2,1722.61,1473.1,1841.9,1139.3,639.81,629.2,631.9,310.5,33.97,45,34.8,24.4,N
7/24/2019,17,2189.89,2452.8,2383.2,1359.2,1408.51,1641.2,1520,928.5,734.37,761.6,816.5,402.5,47.01,50,46.7,28.2,N
7/24/2019,18,2214.99,2756.2,2348.5,1326.8,1288.85,1669,1317.6,812.9,885.94,1034.6,983.7,484.8,40.2,52.6,47.2,29.1,N
7/24/2019,19,2563.37,2920.5,2489,1372,1402.13,1504.4,1288.9,749.6,1120.41,1340.9,1148.5,592,40.83,75.2,51.6,30.4,N
7/24/2019,20,3039.96,3242.1,3254.5,1836.3,1320.91,1361.4,1477.7,819.8,1661.85,1770.5,1688.3,964.4,57.2,110.2,88.5,52.1,N
7/24/2019,21,4108.87,4219.4,4044,2480.3,1313.63,1413.7,1271.7,727.7,2672.84,2597.5,2643.3,1663.8,122.4,208.2,129,88.8,N
7/24/2019,22,6245.37,5788.6,5798.5,3681.9,1642.62,1591.9,1591.8,999.7,4364.26,3910.5,3985.1,2543.1,238.49,286.2,221.6,139.1,N
7/24/2019,23,8070.44,6437.4,7528.3,5170.6,1781.62,1314.2,1618.9,1043.5,6011.18,4829.4,5634,3936.4,277.64,293.8,275.4,190.7,N
7/24/2019,24,9257.39,7351.4,9058.2,6460.9,1479.49,1280,1567.9,1026.5,7467.84,5747.8,7197.3,5236.3,310.06,323.6,293,198.1,N
7/25/2019,1,,8173.6,9817.4,7157.7,,1061.5,1154,736.6,,6793.2,8282.6,6168.4,,318.9,380.8,252.7,N
7/25/2019,2,,9415.2,9946.3,7199.5,,974.5,929.2,565.8,,8103.9,8625.4,6375.1,,336.8,391.7,258.6,N
7/25/2019,3,,9473.1,9665.7,6803,,741.6,741.6,434.7,,8346.3,8538.9,6119.4,,385.2,385.2,248.9,N
7/25/2019,4,,9033.9,9204.7,6325.9,,624.6,624.6,356.5,,8044.2,8215,5735.2,,365.1,365.1,234.2,N
7/25/2019,5,,8612.7,8754.7,5916,,642.5,643,368.5,,7652,7793.5,5345.1,,318.2,318.2,202.4,N
7/25/2019,6,,8190.8,8313.1,5532.4,,747.6,750.7,441.7,,7188.4,7307.6,4927.9,,254.8,254.8,162.8,N
7/25/2019,7,,7660.5,7792.5,5057.1,,838.2,843.7,505.2,,6615.5,6742,4424.3,,206.8,206.8,127.6,N
7/25/2019,8,,6896.9,6967.4,4354.6,,822.7,829.1,488.7,,5898.3,5962.4,3761.9,,175.9,175.9,104,N
7/25/2019,9,,5667.3,5747.2,3448.7,,680.3,685.4,380.2,,4865.2,4940,3001.6,,121.8,121.8,66.9,N
7/25/2019,10,,4732.5,4805.2,2839.5,,579.5,583.9,316.3,,4075.9,4144.2,2481.7,,77.1,77.1,41.5,N
7/25/2019,11,,4375,4435.3,2592.3,,649.9,655.5,357.5,,3652.5,3707.2,2195,,72.6,72.6,39.8,N
7/25/2019,12,,3715.9,3760,2095.4,,703,707.7,386.9,,2952.4,2991.8,1677,,60.5,60.5,31.5,N
7/25/2019,13,,3042.1,3071,1630.6,,679.5,683.2,364.9,,2311.1,2336.3,1240.4,,51.5,51.5,25.3,N
