USPS	GEOID	ANSICODE	NAME	FUNCSTAT10	POP10	HU10	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                         
TX	4800190650	01938605	Cayuga CCD	S	900	483	279515077	5389692	     107.921	       2.081	 31.930897	 -95.959282                                                                                          
TX	4800191205	01938719	Elkhart CCD	S	6988	3171	617423852	5963988	     238.389	       2.303	 31.623228	 -95.513106                                                                                       
TX	4800191390	01938755	Frankston CCD	S	4685	2286	483306765	7866109	     186.606	       3.037	 31.971468	 -95.552444                                                                                     
TX	4800192615	01939004	Montalba-Tennessee Colony CCD	S	16445	1895	579416970	10407048	     223.714	       4.018	 31.890961	 -95.803765                                                                   
TX	4800192945	01939070	Palestine CCD	S	29440	12281	792463631	10257245	     305.972	       3.960	 31.762396	 -95.607447                                                                                  
TX	4800390085	01938492	Andrews North CCD	S	12075	4783	2634284325	30529	    1017.103	       0.012	 32.360255	-102.710523                                                                                 
TX	4800390090	01938493	Andrews South CCD	S	2711	1031	1252545379	926517	     483.610	       0.358	 32.176548	-102.468819                                                                                 
TX	4800591045	01938687	Diboll CCD	S	9666	3205	307981082	4091524	     118.912	       1.580	 31.174861	 -94.738852                                                                                        
TX	4800591855	01938852	Huntington CCD	S	11260	4981	643742821	59490387	     248.551	      22.969	 31.248946	 -94.543294                                                                                  
TX	4800592325	01938946	Lufkin CCD	S	52098	21029	305758509	5808226	     118.054	       2.243	 31.343768	 -94.721173                                                                                      
TX	4800593090	01939099	Pollok CCD	S	10758	4161	409656352	5095499	     158.169	       1.967	 31.401870	 -94.864446                                                                                       
TX	4800594315	01939345	Zavalla CCD	S	2989	2213	399096544	98857856	     154.092	      38.169	 31.139036	 -94.355221                                                                                      
TX	4800791420	01938761	Fulton CCD	S	5495	4448	474924150	627610091	     183.369	     242.322	 28.104225	 -96.977983                                                                                      
TX	4800793295	01939140	Rockport CCD	S	17663	10907	177944701	87011002	      68.705	      33.595	 27.989806	 -97.125046                                                                                   
TX	4800990130	01938501	Archer City CCD	S	3614	1586	842191982	12207020	     325.172	       4.713	 33.524651	 -98.585330                                                                                  
TX	4800991815	01938844	Holliday CCD	S	5440	2521	1496851626	45570574	     577.938	      17.595	 33.669989	 -98.746652                                                                                    
TX	4801190740	01938626	Claude North CCD	S	545	271	833998724	1991020	     322.009	       0.769	 35.096120	-101.373729                                                                                    
TX	4801190745	01938627	Claude South CCD	S	1356	633	1520583157	10228736	     587.100	       3.949	 34.886800	-101.367451                                                                                 
TX	4801390595	01938594	Campbellton CCD	S	503	378	515095983	1111220	     198.880	       0.429	 28.786721	 -98.257684                                                                                     
TX	4801390695	01938617	Charlotte CCD	S	2684	1183	692944004	661368	     267.547	       0.255	 28.831470	 -98.719536                                                                                      
TX	4801391955	01938872	Jourdanton CCD	S	5989	2520	812572161	2399107	     313.736	       0.926	 28.804574	 -98.522821                                                                                    
TX	4801393070	01939095	Pleasanton CCD	S	16564	6567	567452802	500225	     219.095	       0.193	 28.986128	 -98.416646                                                                                    
TX	4801393120	01939105	Poteet CCD	S	19171	6983	570539938	323843	     220.287	       0.125	 29.106925	 -98.668727                                                                                        
TX	4801590250	01938525	Bellville CCD	S	9288	4267	496364668	8960826	     191.647	       3.460	 29.986981	 -96.238713                                                                                     
TX	4801591873	01939315	Industry CCD	S	3660	2172	492258408	4988209	     190.062	       1.926	 29.960848	 -96.447021                                                                                      
TX	4801593490	01939180	Sealy CCD	S	13069	5400	510361715	9371013	     197.052	       3.618	 29.790667	 -96.205487                                                                                        
TX	4801594070	01939296	Wallis CCD	S	2400	1087	175464108	2257147	      67.747	       0.871	 29.661713	 -96.104780                                                                                        
TX	4801792685	01939018	Muleshoe CCD	S	6745	2591	875179697	215548	     337.909	       0.083	 34.211100	-102.833046                                                                                       
TX	4801793670	01939216	South Sand Hills CCD	S	420	193	1266215134	1556222	     488.888	       0.601	 33.969370	-102.820971                                                                               
TX	4801990195	01938514	Bandera CCD	S	17759	9663	815732687	14267583	     314.956	       5.509	 29.705668	 -99.024392                                                                                     
TX	4801992500	01938981	Medina CCD	S	2726	1898	1232846178	3020818	     476.005	       1.166	 29.759766	 -99.392398                                                                                       
